StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q31,Q21,Q22,Q22_8_TEXT,Q23,Q26,Q14,Q7,Q7_9_TEXT,Q27_1,Q27_2,Q27_3,Q19_1_x,Q19_1_y
2023-04-25 18:18:22,2023-04-25 18:19:11,IP Address,100,49,True,2023-04-25 18:19:11,R_2Qxs9g5q5HHD1EH,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,671,412
2023-04-25 20:35:02,2023-04-25 20:35:57,IP Address,100,54,True,2023-04-25 20:35:57,R_YX3oKiCNSz2fxjr,anonymous,EN,P0003,,Off campus,Home,,,,"Laboratory work, exercise ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage,Phone Call / FaceTime / Google Duo",,4,6,5.1,577,601
2023-04-26 10:08:52,2023-04-26 10:09:59,IP Address,100,67,True,2023-04-26 10:10:00,R_1M0LH6pbldDgMIH,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Getting ready, driving, eating ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,658,329
2023-04-26 12:00:11,2023-04-26 12:01:55,IP Address,100,104,True,2023-04-26 12:01:56,R_6tnl3GWkSYFdLYl,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,335,676
2023-04-26 14:02:38,2023-04-26 14:03:21,IP Address,100,42,True,2023-04-26 14:03:21,R_1g1KUz52PNiF9hq,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,675,445
2023-04-26 16:10:28,2023-04-26 16:11:38,IP Address,100,70,True,2023-04-26 16:11:38,R_Qp63KFSCMoo1V4J,anonymous,EN,"P0003",,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,260,653
2023-04-26 18:11:33,2023-04-26 18:12:15,IP Address,100,41,True,2023-04-26 18:12:15,R_27j2ayrfPuQ13Em,anonymous,EN,"P0003",,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,3.5,4,519,631
2023-04-26 20:13:16,2023-04-26 20:14:58,IP Address,100,102,True,2023-04-26 20:14:59,R_e56cOHbaxZRlGHD,anonymous,EN,P0003,,Off campus,At a friend's house,,,,"Eating, talking","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,3.9,3.9,3.9,596,593
2023-04-27 10:15:47,2023-04-27 10:17:12,IP Address,100,84,True,2023-04-27 10:17:12,R_pG9DWbjl0J6uCaJ,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Breakfast, driving, laboratory work","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage,Phone Call / FaceTime / Google Duo",,4,4,3,421,439
2023-04-27 12:00:52,2023-04-27 13:05:55,IP Address,100,3902,True,2023-04-27 13:05:56,R_2tEAIOpO0xOacYO,anonymous,EN,P0003,,On campus,,,PCD Psych. / Communication Sci. & Disorders Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,538,637
2023-04-27 14:01:15,2023-04-27 14:03:13,IP Address,100,117,True,2023-04-27 14:03:14,R_2rI1364bFEc75bg,anonymous,EN,P0003,,On campus,,,MSC Phyllis P Marshall Student Center (Student Union),No,"Interview, laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,638,545
2023-04-27 16:00:25,2023-04-27 16:01:04,IP Address,100,38,True,2023-04-27 16:01:05,R_3O0UjOTEa5l3Nxr,anonymous,EN,P0003,,On campus,,,MDC USF Health-Morsani College of Medicine Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,3.5,4,440,452
2023-04-27 18:12:49,2023-04-27 18:13:29,IP Address,100,40,True,2023-04-27 18:13:30,R_OQhqCUSWE9mAokF,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,3.9,3.9,3.9,529,447
2023-04-27 20:00:23,2023-04-27 20:01:14,IP Address,100,51,True,2023-04-27 20:01:14,R_217LZjzVUSwchAd,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,4,4,4,467,535
2023-04-28 10:03:48,2023-04-28 10:06:00,IP Address,100,132,True,2023-04-28 10:06:02,R_2WI0SIF9P2dgClF,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,Driving,"Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage,Phone Call / FaceTime / Google Duo",,4,3,4,625,429
2023-04-28 13:09:23,2023-04-28 13:10:22,IP Address,100,59,True,2023-04-28 13:10:24,R_1luHvs2660PM3j6,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage,Phone Call / FaceTime / Google Duo",,4,4.1,5.5,517,454
2023-04-28 14:00:32,2023-04-28 14:03:15,IP Address,100,163,True,2023-04-28 14:03:16,R_3QJzJuSwU1oTdUu,anonymous,EN,P0003,,On campus,,,BPB Business Partnership Building (USF Research Park),No,"Lunch, laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage,Other (Provide the name of the platform)",Teams,4,4,4,483,368
2023-04-28 16:13:28,2023-04-28 16:14:28,IP Address,100,59,True,2023-04-28 16:14:28,R_1f33VNGrJglz6xF,anonymous,EN,P0003,,On campus,,,MDC USF Health-Morsani College of Medicine Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,3,4,427,512
2023-04-28 18:00:50,2023-04-28 18:01:45,IP Address,100,54,True,2023-04-28 18:01:45,R_2zk06UmJRA48dZT,anonymous,EN,P0003,,On campus,,,BPB Business Partnership Building (USF Research Park),No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,577,477
2023-04-28 20:29:23,2023-04-28 20:30:09,IP Address,100,46,True,2023-04-28 20:30:10,R_1LCoaaYY7aWtAOy,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work, talking ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,4,4,4,625,504
2023-05-01 10:07:58,2023-05-01 10:08:58,IP Address,100,59,True,2023-05-01 10:08:59,R_2zpviZ0LFaykPT0,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Eating, driving, laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,475,483
2023-05-01 12:00:52,2023-05-01 12:01:43,IP Address,100,50,True,2023-05-01 12:01:47,R_1Cg8sGEdUpBeGfF,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Doctor's appointment ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage,Phone Call / FaceTime / Google Duo",,4,3,4,238,160
2023-05-01 14:05:20,2023-05-01 14:06:14,IP Address,100,54,True,2023-05-01 14:06:14,R_2whHNIXwWM9hfSd,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work, lunch","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,3.5,4,338,670
2023-05-01 16:17:21,2023-05-01 16:18:14,IP Address,100,52,True,2023-05-01 16:18:15,R_1etu9kzuvixwnrs,anonymous,EN,P0003,,On campus,,,MDC USF Health-Morsani College of Medicine Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage,Phone Call / FaceTime / Google Duo",,4,4,4,515,433
2023-05-01 18:00:39,2023-05-01 18:04:52,IP Address,100,252,True,2023-05-01 18:04:52,R_30jh9f8GfQjb5ga,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,454,497
2023-05-01 20:02:05,2023-05-01 20:02:42,IP Address,100,37,True,2023-05-01 20:02:43,R_1LpQouAnQkWSav9,anonymous,EN,P0003,,Off campus,Home,,,,"Shopping, driving ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,4,4,4,438,466
2023-05-02 10:01:10,2023-05-02 10:40:09,IP Address,100,2338,True,2023-05-02 10:40:10,R_22o9IGEi7MMaKg6,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage,Phone Call / FaceTime / Google Duo",,4,4,4,519,506
2023-05-02 12:00:57,2023-05-02 12:01:43,IP Address,100,45,True,2023-05-02 12:01:46,R_qXbadfBI8MUbbSp,anonymous,EN,P0003,,On campus,,,MDC USF Health-Morsani College of Medicine Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,4,4,4,498,479
2023-05-02 14:00:43,2023-05-02 14:01:37,IP Address,100,54,True,2023-05-02 14:01:39,R_ZslgZ1x7ciBxVJL,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,531,441
2023-05-02 16:00:13,2023-05-02 16:00:52,IP Address,100,39,True,2023-05-02 16:00:54,R_2SAj764nnZRB4ic,anonymous,EN,P0003,,On campus,,,ALN John & Grace Allen Building,No,"Laboratory work, lunch ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,508,470
2023-05-02 18:02:44,2023-05-02 18:03:12,IP Address,100,28,True,2023-05-02 18:03:13,R_3KUFtjyIKsy8s7J,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,513,443
2023-05-02 20:04:46,2023-05-02 20:05:30,IP Address,100,44,True,2023-05-02 20:05:31,R_1JOR1yD1Lmh1YKv,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work, exercising ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage,Phone Call / FaceTime / Google Duo",,4,4,4,560,452
2023-05-03 10:00:57,2023-05-03 10:01:52,IP Address,100,54,True,2023-05-03 10:01:52,R_3nUEmXgVwfZTGFa,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Shower, eating, driving","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,4,4,3,433,443
2023-05-03 12:00:41,2023-05-03 12:01:29,IP Address,100,48,True,2023-05-03 12:01:32,R_Uhcjoy56gbwNYHf,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,550,543
2023-05-03 14:02:25,2023-05-03 14:03:01,IP Address,100,36,True,2023-05-03 14:03:02,R_3iEdhMa73ZiH4nB,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,4,4,4,525,435
2023-05-03 16:09:37,2023-05-03 16:10:10,IP Address,100,33,True,2023-05-03 16:10:12,R_bknJNq1Dee5bKPT,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,592,464
2023-05-03 18:09:30,2023-05-03 18:11:20,IP Address,100,110,True,2023-05-03 18:11:21,R_z6hJuP0gNLg5lwR,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,546,447
2023-05-03 20:24:25,2023-05-03 20:25:05,IP Address,100,40,True,2023-05-03 20:25:06,R_25RDg5DQtVyTmB6,anonymous,EN,P0003,,Off campus,At a friend's house,,,,"Laboratory work, watching tv","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,5,4,4,550,531
2023-05-04 10:02:22,2023-05-04 10:03:04,IP Address,100,41,True,2023-05-04 10:03:05,R_1LtFMNu1XHavhEm,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Eating, driving","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,6,4,5,642,485
2023-05-04 12:02:22,2023-05-04 12:02:57,IP Address,100,35,True,2023-05-04 12:02:59,R_32PJuYQZM272HTl,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,658,504
2023-05-04 14:00:37,2023-05-04 14:32:59,IP Address,100,1941,True,2023-05-04 14:32:59,R_3FILH15sJX7I3PQ,anonymous,EN,P0003,,On campus,,,ALN John & Grace Allen Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,3.9,4.3,4.3,613,514
2023-05-04 16:05:59,2023-05-04 16:07:21,IP Address,100,81,True,2023-05-04 16:07:21,R_3IXkbLWt3XLDf3c,anonymous,EN,P0003,,On campus,,,BPB Business Partnership Building (USF Research Park),No,"Laboratory work, eating","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,3.5,638,481
2023-05-04 18:01:49,2023-05-04 18:02:34,IP Address,100,44,True,2023-05-04 18:02:34,R_qCTu0dh42D06kQF,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,4,4,4,465,464
2023-05-04 20:01:46,2023-05-04 20:11:41,IP Address,100,594,True,2023-05-04 20:11:41,R_30vCKkMKXGUcayq,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work, exercise class","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage,Phone Call / FaceTime / Google Duo",,4,6,3,398,549
2023-05-05 10:00:46,2023-05-05 10:01:32,IP Address,100,46,True,2023-05-05 10:01:33,R_2v6vtRIqCYXT2TU,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Eating, writing","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,3,4,3.5,442,462
2023-05-05 12:01:01,2023-05-05 12:01:38,IP Address,100,37,True,2023-05-05 12:01:41,R_3MMQ7mSoDLqNbrT,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,5,3,450,452
2023-05-05 14:03:03,2023-05-05 14:03:44,IP Address,100,40,True,2023-05-05 14:03:45,R_ZafYh68IedfCmeB,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,508,458
2023-05-05 16:07:48,2023-05-05 16:08:35,IP Address,100,46,True,2023-05-05 16:08:36,R_3Jf1V2qbKF9pLb0,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage,Other (Provide the name of the platform)","Teams Meeting ",4,4,4,558,497
2023-05-05 18:01:25,2023-05-05 18:01:51,IP Address,100,26,True,2023-05-05 18:01:52,R_xnfjVFIDymt8jyF,anonymous,EN,P0003,,Off campus,Home,,,,Driving,"Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,4,4,4,560,518
2023-05-05 20:44:35,2023-05-05 20:45:25,IP Address,100,50,True,2023-05-05 20:45:25,R_1OwCqUkeWWaZSEi,anonymous,EN,P0003,,Off campus,A restaurant,,,,Eating,"Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,5,4,5,638,499
2023-05-08 10:05:15,2023-05-08 10:05:46,IP Address,100,31,True,2023-05-08 10:05:47,R_2tJYxblSWWfcHHn,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,615,474
2023-05-08 10:51:55,2023-05-08 10:55:33,IP Address,100,217,True,2023-05-08 10:55:34,R_eG1zq1E51nY48bT,anonymous,EN,P0011,,On campus,,,MSC Phyllis P Marshall Student Center (Student Union),No,"On phone ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Canvas,E-mail,Discord / Slack / WhatsApp",,4.2,4.5,4.9,627,549
2023-05-08 12:01:15,2023-05-08 12:02:13,IP Address,100,58,True,2023-05-08 12:02:15,R_2uBrH87wWrhcg7z,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage",,4,4,4,642,477
2023-05-08 13:36:03,2023-05-08 13:37:48,IP Address,100,104,True,2023-05-08 13:37:48,R_2zraREEwueC6O2k,anonymous,EN,P0011,,Off campus,Home,,,,"Talking with family ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Discord / Slack / WhatsApp,Text Messaging / iMessage",,7,6.2,6.2,681,443
2023-05-08 14:09:23,2023-05-08 14:10:00,IP Address,100,37,True,2023-05-08 14:10:01,R_1mDcbcAjOznJCAe,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage,Phone Call / FaceTime / Google Duo",,4,4,4,552,454
2023-05-08 12:52:26,2023-05-08 14:14:10,IP Address,100,4903,True,2023-05-08 14:14:10,R_27D22gPTunaM2eV,anonymous,EN,P0018,,On campus,,,UTB University Technology Center B (Research Park),No,Commuting back home,"Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Text Messaging / iMessage,Phone Call / FaceTime / Google Duo",,5.6,5.3,5.6,608,202
2023-05-08 16:02:13,2023-05-08 16:02:59,IP Address,100,46,True,2023-05-08 16:03:00,R_3dBaRACaVQsTl9T,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,4,4,4,579,468
2023-05-08 16:54:18,2023-05-08 16:55:05,IP Address,100,46,True,2023-05-08 16:55:05,R_1g0UvdSAqE9nmjL,anonymous,EN,P0011,,Off campus,Home,,,,Cooking,"Discord / Slack / WhatsApp,Text Messaging / iMessage",,4.1,4.1,4,412,675
2023-05-08 18:00:59,2023-05-08 18:01:35,IP Address,100,36,True,2023-05-08 18:01:35,R_2zGviHTlNCpFJg9,anonymous,EN,P0003,,On campus,,,ISA Interdisciplinary Sciences Building,No,"Laboratory work ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Text Messaging / iMessage",,4,4,4,625,493
2023-05-08 18:00:30,2023-05-08 18:01:53,IP Address,100,82,True,2023-05-08 18:01:53,R_Rl95NvOZN8Q3A8p,anonymous,EN,P0018,,Off campus,Home,,,,"Watching tv ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Discord / Slack / WhatsApp",,6.2,4.6,5,675,395
2023-05-08 18:02:17,2023-05-08 18:04:29,IP Address,100,132,True,2023-05-08 18:04:30,R_3gZsYM7uzuTwPlv,anonymous,EN,P0018,,On campus,,,SVC Student Services Building,No,Commuting on campus,"Social media (e.g., Instagram, Facebook, TikTok, SnapChat),E-mail,Discord / Slack / WhatsApp,Text Messaging / iMessage",,6.6,4.7,6.2,631,414
2023-05-08 18:04:40,2023-05-08 18:05:53,IP Address,100,72,True,2023-05-08 18:05:53,R_2YQInHrR2cqfMLi,anonymous,EN,P0018,,Off campus,Home,,,,Walking home,Discord / Slack / WhatsApp,,6.3,4.5,6.5,692,424
2023-05-08 18:05:57,2023-05-08 18:07:23,IP Address,100,85,True,2023-05-08 18:07:24,R_2A08tw9bKLBpq3Y,anonymous,EN,P0018,,Off campus,Home,,,,Cooking,"Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Discord / Slack / WhatsApp",,6.5,4.5,6.3,590,618
2023-05-08 18:07:04,2023-05-08 18:09:44,IP Address,100,159,True,2023-05-08 18:09:45,R_1EgIoWzdh9W1eFj,anonymous,EN,P0016,,Off campus,Home,,,,"Woke up ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat),Canvas,E-mail,Text Messaging / iMessage",,3,2.5,2.5,182,605
2023-05-08 18:11:02,2023-05-08 18:13:01,IP Address,100,119,True,2023-05-08 18:13:04,R_2CZgaFJYh52Nb0l,anonymous,EN,P0016,,Off campus,Home,,,,"Dealing with a psychotic episode ","Social media (e.g., Instagram, Facebook, TikTok, SnapChat)",,1.1,4,1,324,97
