StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q20,Q3,Q4,Q12,Q19,Q15,Q10_1,Q18
5/8/2023 8:11,5/8/2023 8:45,IP Address,100,1997,TRUE,"Monday, May 8, 2023",R_1HjaoE7DCE4kMnZ,anonymous,EN,P0011,,I don't have any classes today,Probably not,Yes,Yes,"No, I'm not aware of any social events for today",7,7
5/8/2023 18:09,5/8/2023 18:10,IP Address,100,52,TRUE,"Monday, May 8, 2023",R_2fIP9ZS7gGNM1Jq,anonymous,EN,P0016,,I don't have any classes today,Definitely not,No,No,"No, I am aware of social events, but I prefer not to attend",0,0
5/9/2023 8:00,5/9/2023 8:01,IP Address,100,29,TRUE,"Tuesday, May 9, 2023",R_3iKdeSVFk2FWNJK,anonymous,EN,P0003,,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",6,6
5/9/2023 8:36,5/9/2023 8:37,IP Address,100,79,TRUE,"Tuesday, May 9, 2023",R_Y5lpIRzbetzq1bj,anonymous,EN,P0019,,I don't have any classes today,Definitely yes,Yes,Yes,"No, I'm not aware of any social events for today",6,8
5/9/2023 10:03,5/9/2023 10:05,IP Address,100,83,TRUE,"Tuesday, May 9, 2023",R_2ffjABaP8XmNky2,anonymous,EN,P0011,,I don't have any classes today,Probably not,Yes,Yes,"No, I'm not aware of any social events for today",9,8
5/9/2023 10:10,5/9/2023 10:11,IP Address,100,38,TRUE,"Tuesday, May 9, 2023",R_1r3vvMMTJupubZ4,anonymous,EN,P0018,,I don't have any classes today,Probably yes,Yes,Yes,"No, I am aware of social events, but I prefer not to attend",7,7
5/9/2023 10:34,5/9/2023 10:36,IP Address,100,93,TRUE,"Tuesday, May 9, 2023",R_31oqZl6lqFprN3S,anonymous,EN,P0016,,I don't have any classes today,Definitely not,Doesn't matter,No,"No, I am aware of social events, but I prefer not to attend",7,2
5/9/2023 11:36,5/9/2023 11:37,IP Address,100,50,TRUE,"Tuesday, May 9, 2023",R_2xxXzWsVf8mlDxK,anonymous,EN,P0012,,I don't have any classes today,Definitely not,Doesn't matter,Yes,Yes (hosted by friends/self),10,8
5/10/2023 8:10,5/10/2023 8:11,IP Address,100,34,TRUE,"Wednesday, May 10, 2023",R_2U5UhkzyqNctDSX,anonymous,EN,P0003,,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",5,5
5/10/2023 8:33,5/10/2023 8:36,IP Address,100,165,TRUE,"Wednesday, May 10, 2023",R_1EafFuargrM3Joa,anonymous,EN,P0014,,I don't have any classes today,Definitely not,No,Yes,"No, I'm not aware of any social events for today",5,8
5/10/2023 8:50,5/10/2023 8:50,IP Address,100,25,TRUE,"Wednesday, May 10, 2023",R_WcBEX9egPPqqJeV,anonymous,EN,P0018,,I don't have any classes today,Probably yes,No,Yes,"No, I am aware of social events, but I prefer not to attend",8,10
5/10/2023 10:20,5/10/2023 10:21,IP Address,100,68,TRUE,"Wednesday, May 10, 2023",R_1d78lguFXRK1GyW,anonymous,EN,P0011,,I don't have any classes today,Probably not,No,Yes,"No, I am aware of social events, but I prefer not to attend",7,5
5/10/2023 11:24,5/10/2023 11:25,IP Address,100,47,TRUE,"Wednesday, May 10, 2023",R_0BSBfzDnI7GF7e9,anonymous,EN,P0019,,I don't have any classes today,Definitely yes,No,Yes,"No, I'm not aware of any social events for today",6,7
5/10/2023 12:22,5/10/2023 12:23,IP Address,100,54,TRUE,"Wednesday, May 10, 2023",R_3sjBSt8PFGBJc0U,anonymous,EN,P0016,,I don't have any classes today,Definitely not,Doesn't matter,No,"No, I am aware of social events, but I prefer not to attend",7,2
5/11/2023 8:16,5/11/2023 8:17,IP Address,100,57,TRUE,"Thursday, May 11, 2023",R_2VmEhbCTOKRJg6l,anonymous,EN,P0014,,I don't have any classes today,Definitely not,No,No,"No, I'm not aware of any social events for today",7,8
5/11/2023 8:28,5/11/2023 8:28,IP Address,100,37,TRUE,"Thursday, May 11, 2023",R_33rjyTHTUVGdmWm,anonymous,EN,P0003,,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",5,7
5/11/2023 10:16,5/11/2023 10:16,IP Address,100,47,TRUE,"Thursday, May 11, 2023",R_0Ne5ls19TozC3lv,anonymous,EN,P0011,,I don't have any classes today,Probably not,Yes,Yes,"No, I'm not aware of any social events for today",8,7
5/11/2023 12:02,5/11/2023 12:03,IP Address,100,35,TRUE,"Thursday, May 11, 2023",R_1nV0acJw8eYm1H2,anonymous,EN,P0016,,I don't have any classes today,Definitely not,No,No,"No, I am aware of social events, but I prefer not to attend",10,1
5/12/2023 8:28,5/12/2023 8:29,IP Address,100,37,TRUE,"Friday, May 12, 2023",R_3qL5DGPdwcnP0E6,anonymous,EN,P0014,,I don't have any classes today,Definitely not,No,No,"No, I'm not aware of any social events for today",5,6
5/12/2023 8:34,5/12/2023 8:34,IP Address,100,26,TRUE,"Friday, May 12, 2023",R_2dTtZ1nTCu79u2h,anonymous,EN,P0003,,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",6,6
5/12/2023 9:22,5/12/2023 9:23,IP Address,100,46,TRUE,"Friday, May 12, 2023",R_27OIzwukxxhGRRc,anonymous,EN,P0019,,I don't have any classes today,Definitely yes,No,Yes,Yes (hosted by friends/self),8,7
5/12/2023 10:02,5/12/2023 10:03,IP Address,100,96,TRUE,"Friday, May 12, 2023",R_3O1U5uUUXLjqGlZ,anonymous,EN,P0017,,I don't have any classes today,Definitely not,No,Doesn't matter,"No, I am aware of social events, but I prefer not to attend",10,5
5/12/2023 10:34,5/12/2023 10:34,IP Address,100,28,TRUE,"Friday, May 12, 2023",R_1dhuTOUBdoyyyo3,anonymous,EN,P0011,,I don't have any classes today,Probably not,No,Yes,"No, I'm not aware of any social events for today",5,4
5/12/2023 10:42,5/12/2023 10:43,IP Address,100,23,TRUE,"Friday, May 12, 2023",R_3KZO6T2UesrYh4U,anonymous,EN,P0016,,I don't have any classes today,Definitely not,Doesn't matter,Doesn't matter,"No, I'm not aware of any social events for today",2,1
5/12/2023 10:50,5/12/2023 10:51,IP Address,100,63,TRUE,"Friday, May 12, 2023",R_3lEQcTX8UXUXGAE,anonymous,EN,P0022,,I don't have any classes today,Definitely not,Yes,Yes,Yes (hosted by friends/self),8,10
5/15/2023 8:00,5/15/2023 8:01,IP Address,100,48,TRUE,"Monday, May 15, 2023",R_4T1cS6fpU0Y5RU5,anonymous,EN,P0019,677,"Yes, all of them",Definitely yes,Yes,Yes,"No, I'm not aware of any social events for today",5,7
5/15/2023 8:02,5/15/2023 8:04,IP Address,100,92,TRUE,"Monday, May 15, 2023",R_3Mg566VWWqQ6AAU,anonymous,EN,P0016,484,"Yes, all of them",Definitely yes,Yes,Doesn't matter,"No, I'm not aware of any social events for today",9,4
5/15/2023 8:36,5/15/2023 8:36,IP Address,100,36,TRUE,"Monday, May 15, 2023",R_29b4dIAEetbAI6r,anonymous,EN,P0003,5886,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",7,5
5/15/2023 10:37,5/15/2023 10:38,IP Address,100,48,TRUE,"Monday, May 15, 2023",R_DME13BhemcxwhxL,anonymous,EN,P0022,1921,"Yes, all of them",Probably yes,Doesn't matter,Yes,"No, I'm not aware of any social events for today",8,9
5/15/2023 11:30,5/15/2023 11:31,IP Address,100,78,TRUE,"Monday, May 15, 2023",R_2xYjh3SuonTRRpe,anonymous,EN,P0011,3270,I don't have any classes today,Definitely yes,No,No,"No, I'm not aware of any social events for today",8,10
5/16/2023 8:15,5/16/2023 8:16,IP Address,100,27,TRUE,"Tuesday, May 16, 2023",R_3MojhjDkQIRBb4B,anonymous,EN,P0003,5886,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",6,6
5/16/2023 8:17,5/16/2023 8:18,IP Address,100,61,TRUE,"Tuesday, May 16, 2023",R_2hioMykkTCn2N9L,anonymous,EN,P0011,3270,"Yes, all of them",Definitely yes,Yes,Yes,"No, I'm not aware of any social events for today",5,4
5/16/2023 8:23,5/16/2023 8:24,IP Address,100,57,TRUE,"Tuesday, May 16, 2023",R_wSkTVZxStbGdJ73,anonymous,EN,P0022,1921,"Yes, all of them",Definitely yes,Yes,Yes,Yes (hosted by entity of USF),5,5
5/16/2023 8:39,5/16/2023 8:41,IP Address,100,67,TRUE,"Tuesday, May 16, 2023",R_PGwK70CuhgkaOmR,anonymous,EN,P0016,484,"Yes, all of them",Definitely yes,No,Yes,"No, I'm not aware of any social events for today",6,4
5/16/2023 8:46,5/16/2023 8:47,IP Address,100,54,TRUE,"Tuesday, May 16, 2023",R_vPvN3LQ00LeMgA9,anonymous,EN,P0027,5568,"Yes, all of them",Probably yes,Doesn't matter,Doesn't matter,Yes (hosted by friends/self),7,8
5/16/2023 9:09,5/16/2023 9:10,IP Address,100,65,TRUE,"Tuesday, May 16, 2023",R_BQXOWgeMzjJUek1,anonymous,EN,P0014,8349,"Yes, all of them",Probably yes,No,Yes,"No, I'm not aware of any social events for today",9,10
5/16/2023 9:24,5/16/2023 9:25,IP Address,100,38,TRUE,"Tuesday, May 16, 2023",R_2EE6TGUeGYExeaM,anonymous,EN,P0019,677,"Yes, all of them",Definitely yes,No,Yes,"No, I'm not aware of any social events for today",10,10
5/17/2023 8:10,5/17/2023 8:10,IP Address,100,36,TRUE,"Wednesday, May 17, 2023",R_1i53A0vtTNbTAce,anonymous,EN,P0014,8349,I don't have any classes today,Probably not,Doesn't matter,Doesn't matter,"No, I'm not aware of any social events for today",4,1
5/17/2023 8:10,5/17/2023 8:11,IP Address,100,51,TRUE,"Wednesday, May 17, 2023",R_124r0FIWlMs9dI2,anonymous,EN,P0016,484,"Yes, all of them",Definitely yes,Doesn't matter,Doesn't matter,"No, I am aware of social events, but I prefer not to attend",4,5
5/17/2023 8:42,5/17/2023 8:43,IP Address,100,18,TRUE,"Wednesday, May 17, 2023",R_2cq1jRXoTXnjQxJ,anonymous,EN,P0003,5886,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",7,7
5/17/2023 8:47,5/17/2023 8:48,IP Address,100,52,TRUE,"Wednesday, May 17, 2023",R_6mmluaNcIIjHwaZ,anonymous,EN,P0027,5568,"Yes, all of them",Definitely yes,Doesn't matter,Doesn't matter,"No, I'm not aware of any social events for today",8,8
5/17/2023 10:44,5/17/2023 10:45,IP Address,100,52,TRUE,"Wednesday, May 17, 2023",R_325ydBUiv34ADfa,anonymous,EN,P0022,1921,"Yes, all of them",Definitely yes,Doesn't matter,Yes,"No, I'm not aware of any social events for today",6,7
5/18/2023 8:37,5/18/2023 8:38,IP Address,100,84,TRUE,"Thursday, May 18, 2023",R_4131RsHmM7312hj,anonymous,EN,P0016,484,"Yes, all of them",Definitely yes,Doesn't matter,Doesn't matter,"No, I'm not aware of any social events for today",7,1
5/18/2023 9:31,5/18/2023 9:31,IP Address,100,32,TRUE,"Thursday, May 18, 2023",R_3Pou6KMfIJIHDrV,anonymous,EN,P0014,8349,"Yes, all of them",Probably not,No,No,"No, I'm not aware of any social events for today",9,10
5/18/2023 9:40,5/18/2023 9:41,IP Address,100,25,TRUE,"Thursday, May 18, 2023",R_ez0oMVPZAvhZOwN,anonymous,EN,P0003,5886,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",7,5
5/18/2023 9:46,5/18/2023 9:47,IP Address,100,43,TRUE,"Thursday, May 18, 2023",R_3iVZiRoQjj3u0RN,anonymous,EN,P0027,5568,"Yes, all of them",Probably yes,Yes,Yes,Yes (hosted by friends/self),8,6
5/18/2023 10:36,5/18/2023 10:36,IP Address,100,39,TRUE,"Thursday, May 18, 2023",R_3iwBSpUNJ8NqOFP,anonymous,EN,P0011,3270,"Yes, all of them",Definitely yes,Yes,Yes,"No, I'm not aware of any social events for today",6,5
5/18/2023 11:47,5/18/2023 11:48,IP Address,100,73,TRUE,"Thursday, May 18, 2023",R_sgOxZWBJMPxVHuF,anonymous,EN,P0022,1921,I don't have any classes today,Probably yes,No,Yes,Yes (hosted by friends/self),7,9
5/19/2023 8:03,5/19/2023 8:04,IP Address,100,49,TRUE,"Friday, May 19, 2023",R_2rYKTJgJU8OSaZb,anonymous,EN,P0014,8349,"Yes, all of them",Probably not,Yes,Yes,"No, I'm not aware of any social events for today",6,7
5/19/2023 8:28,5/19/2023 8:28,IP Address,100,25,TRUE,"Friday, May 19, 2023",R_2c5aO5GgwdxWN01,anonymous,EN,P0003,5886,I don't have any classes today,Definitely not,Yes,Yes,"No, I'm not aware of any social events for today",7,7
5/19/2023 10:02,5/19/2023 10:02,IP Address,100,30,TRUE,"Friday, May 19, 2023",R_1DAueMfrCyjny7k,anonymous,EN,P0011,3270,"Yes, all of them",Definitely yes,No,Yes,Yes (hosted by friends/self),7,4
5/19/2023 10:54,5/19/2023 10:54,IP Address,100,30,TRUE,"Friday, May 19, 2023",R_eYgFednfYPsLJTj,anonymous,EN,P0027,5568,"Yes, all of them",Definitely yes,Yes,Yes,"No, I am aware of social events, but I prefer not to attend",8,6
5/19/2023 12:52,5/19/2023 12:52,IP Address,100,25,TRUE,"Friday, May 19, 2023",R_3MlOfyE6zKHZ1Bv,anonymous,EN,P0022,1921,I don't have any classes today,Definitely yes,Doesn't matter,Doesn't matter,Yes (hosted by friends/self),7,8
5/22/2023 8:00,5/22/2023 8:01,IP Address,100,52,TRUE,"Monday, May 22, 2023",R_0wyv4LyczYfggzn,anonymous,EN,P0014,8349,I don't have any classes today,Probably yes,No,No,"No, I'm not aware of any social events for today",6,4
5/22/2023 9:46,5/22/2023 9:53,IP Address,100,366,TRUE,"Monday, May 22, 2023",R_2tnAR88CbzF0ESs,anonymous,EN,P0027,5568,"Yes, all of them",Definitely yes,Doesn't matter,Doesn't matter,Yes (hosted by friends/self),6,5
5/22/2023 10:00,5/22/2023 10:01,IP Address,100,63,TRUE,"Monday, May 22, 2023",R_3EmSruX1ZkhZ5U6,anonymous,EN,P0036,8622,"Yes, all of them",Definitely yes,Yes,Yes,Yes (hosted by friends/self),6,7
5/22/2023 11:09,5/22/2023 11:09,IP Address,100,44,TRUE,"Monday, May 22, 2023",R_RRG4HIwLzIkrLnb,anonymous,EN,P0022,1921,"Yes, all of them",Definitely yes,Doesn't matter,Doesn't matter,"No, I'm not aware of any social events for today",10,10
5/22/2023 12:24,5/22/2023 12:25,IP Address,100,47,TRUE,"Monday, May 22, 2023",R_2PbqDzKLOfG4V3T,anonymous,EN,P0011,3270,I don't have any classes today,Definitely yes,Yes,Yes,"No, I'm not aware of any social events for today",8,9
5/23/2023 8:08,5/23/2023 8:09,IP Address,100,37,TRUE,"Tuesday, May 23, 2023",R_2qgi4iEnv1qhMeG,anonymous,EN,P0036,36,"Yes, all of them",Definitely yes,Yes,Yes,"No, I'm not aware of any social events for today",4,3
5/23/2023 9:05,5/23/2023 9:05,IP Address,100,39,TRUE,"Tuesday, May 23, 2023",R_3lJEBGe6SB6Ypak,anonymous,EN,P0027,5568,Some of them,Probably yes,Doesn't matter,Doesn't matter,"No, I'm not aware of any social events for today",8,7
5/23/2023 9:36,5/23/2023 9:36,IP Address,100,23,TRUE,"Tuesday, May 23, 2023",R_9XqaBOSNvL5KEeZ,anonymous,EN,P0014,8349,"Yes, all of them",Definitely yes,No,No,"No, I'm not aware of any social events for today",4,1
5/23/2023 12:01,5/23/2023 12:01,IP Address,100,19,TRUE,"Tuesday, May 23, 2023",R_2OMGMcsLwZZJrfD,anonymous,EN,P0011,3270,"Yes, all of them",Definitely yes,Yes,Yes,"No, I'm not aware of any social events for today",5,6
5/24/2023 8:00,5/24/2023 8:01,IP Address,100,37,TRUE,"Wednesday, May 24, 2023",R_Autk9wipJTTrAqJ,anonymous,EN,P0036,5622,"Yes, all of them",Definitely yes,Yes,Yes,"No, I'm not aware of any social events for today",4,1
5/24/2023 8:01,5/24/2023 8:01,IP Address,100,34,TRUE,"Wednesday, May 24, 2023",R_eM87wwbH77XWs7v,anonymous,EN,P0014,8349,I don't have any classes today,Probably yes,No,Yes,"No, I'm not aware of any social events for today",6,9
5/24/2023 8:47,5/24/2023 8:47,IP Address,100,30,TRUE,"Wednesday, May 24, 2023",R_8DiAmeW5PLrtL2x,anonymous,EN,P0027,5568,"Yes, all of them",Probably yes,Doesn't matter,Doesn't matter,"No, I am aware of social events, but I prefer not to attend",5,6
5/24/2023 9:23,5/24/2023 9:23,IP Address,100,30,TRUE,"Wednesday, May 24, 2023",R_3KDga5Q2WRKBfO9,anonymous,EN,P0022,1921,"Yes, all of them",Definitely yes,Yes,Yes,Yes (hosted by entity of USF),9,10
5/24/2023 9:53,5/24/2023 9:54,IP Address,100,38,TRUE,"Wednesday, May 24, 2023",R_2v8O3MlALzYGCPL,anonymous,EN,P0011,3270,I don't have any classes today,Definitely yes,Yes,Yes,Yes (hosted by friends/self),6,3
5/24/2023 11:09,5/24/2023 11:10,IP Address,100,80,TRUE,"Wednesday, May 24, 2023",R_3hzGr7RMAdxMonE,anonymous,EN,P0013,3708,"Yes, all of them",Definitely yes,Yes,No,"No, I'm not aware of any social events for today",8,5
5/24/2023 11:21,5/24/2023 11:22,IP Address,100,85,TRUE,"Wednesday, May 24, 2023",R_1dhoQxKO0vgPSk3,anonymous,EN,P0034,8673,I don't have any classes today,Definitely yes,Yes,Yes,Yes (hosted by friends/self),9,8
